"id","text","screenName","created","favoriteCount","retweetCount"
"1462667780973600768","Alle möglichen Politiker fordern jetzt die #Impfpflicht. Wieder eine ""Verschwörungstheorie"", die Realität geworden… https://t.co/yT2kZURPSx","MalteKaufmann",2021-11-22 06:22:28,2175,434
"1462191389899436034","Irgendwann einmal werden Historiker das Leid aufarbeiten, das #Ungeimpften in dieser #Corona-Zeit zugefügt wurde. D… https://t.co/C1BM49vjuz","MalteKaufmann",2021-11-20 22:49:28,1162,260
"1462077512603873282","Danke an viele Tausende, die heute in #Wien friedlich gg. die völlig überzogenen und freiheitsfeindlichen #Corona-M… https://t.co/iP2G9wVr6a","MalteKaufmann",2021-11-20 15:16:57,714,133
"1462059741170081799","Wer sich gewaltsam Zugang zu einem Land verschaffen will und Grenzer attackiert, handelt kriminell &amp; darf auf keine… https://t.co/8Un2CuJ5HL","MalteKaufmann",2021-11-20 14:06:20,499,129
"1462035882534387721","Im Namen des ""Seuchenschutzes"" wurden durch die Geschichte hindurch Minderheiten gesucht,die von der Gesellschaft a… https://t.co/EZgFlZC8Ay","MalteKaufmann",2021-11-20 12:31:32,203,55
"1462022838467059719","Höhere Impfquote- höhere Übersterblichkeit. DAS sind die Fakten. Von wegen #Ungeimpfte seien eine Gefahr für die Ge… https://t.co/pScxOfKmJV","MalteKaufmann",2021-11-20 11:39:42,174,67
"1461801629989146631","#Söder will jetzt #Impfpflicht für alle. In #Österreich wird sie demnächst eingeführt. Wir müssen uns mit allen rec… https://t.co/9irMLgyvCs","MalteKaufmann",2021-11-19 21:00:42,1497,334
"1461642107781799939","#impfen, impfen, impfen...
Bei Medikamenten wird stets auf alle noch so kleinen Nebenwirkungen hingewiesen: ""Fragen… https://t.co/BYSelv7OQS","MalteKaufmann",2021-11-19 10:26:49,689,202
"1461593609283772419","Eine Hetzjagd unbeschreiblichen Ausmaßes auf #Umgeimpfte hat eingesetzt. Erinnert an dunkle Zeiten der Geschichte. https://t.co/03tPxN9JGs","MalteKaufmann",2021-11-19 07:14:06,533,176
"1461464008599523330","Stellvertretend für Millionen ausgegrenzte, verunglimpfte, diffamierte und massiv unter Druck gesetzte #Ungeimpfte… https://t.co/DgINxBb2gV","MalteKaufmann",2021-11-18 22:39:06,1499,308
"1461234317154258944","#Polen ist der Held Europas. Unsere Nachbarn schützen unsere Grenzen vor einem millionenfachen, unbeherrbaren Anstu… https://t.co/9k11Ut5x7d","MalteKaufmann",2021-11-18 07:26:24,477,106
"1460955615308701701","Auch mehr oder weniger unbemerkt während der #Corona-Hysterie: Die #Islamisierung schreitet voran.
https://t.co/5eVdpBospz","MalteKaufmann",2021-11-17 12:58:56,168,60
"1460954454954586112","@Kaffeezwergi @AfDimBundestag Es geht um die Pflicht dazu. Freiwillig ist das natürlich völlig ok.","MalteKaufmann",2021-11-17 12:54:19,2,0
"1460925151759978508","Im Windschatten der #Corona-Hysterie kommen allein in Heidelberg 100 neue ""Geflüchtete"" PRO TAG an. Wie viele echte… https://t.co/BLflu6qn4S","MalteKaufmann",2021-11-17 10:57:53,369,129
"1460894321142648835","Impfstoffe, bei denen es eine exorbitante Anzahl von ""Impfdurchbrüchen"" gibt und bei denen bereits nach 4 (!) Monat… https://t.co/3E4SVBHBWr","MalteKaufmann",2021-11-17 08:55:22,1678,360
"1460684030635094017","Ich erhalte Mails &amp; Messages von verzweifelten Krankenpflegerinnen, Lehrern, Angestellten in diversen Berufen. Sie… https://t.co/lPMhSbvbf3","MalteKaufmann",2021-11-16 18:59:45,1298,327
