"id","text","screenName","created","favoriteCount","retweetCount"
"1462768229311561732","@Markus_Soeder Haarscharfe Analyse.","Ricarda_Lang",2021-11-22 13:01:37,935,4
"1462019764524666881","Hallo 60.000 <U+0001F389> gerade ist es hier wegen Koalitionsverhandlungen etwas ruhiger, aber schön, dass ihr da seid!","Ricarda_Lang",2021-11-20 11:27:29,509,2
"1461837167903363072","Warum es keinen Sinn macht, auf den „Hospitalisierungsindex“ zu fokussieren. https://t.co/bam9QecHUd","Ricarda_Lang",2021-11-19 23:21:55,227,13
"1461702601389576193","Mein Mail-Postfach sagt Dankeschön. https://t.co/HYaAuO5xwb","Ricarda_Lang",2021-11-19 14:27:11,315,7
"1461638560415682565","Wenn Abgeordnete Politik für den eigenen Geldbeutel geht Vertrauen in Parlament und Politik verloren. 

Wir brauche… https://t.co/sFhLNGXv9H","Ricarda_Lang",2021-11-19 10:12:43,203,13
"1461022681172688900","@KonstantinKuhle @fdpbt Gute Besserung und schnelle Genesung!","Ricarda_Lang",2021-11-17 17:25:26,53,0
"1460628725763092483","Pandemiebekämpfung als Egoshow. https://t.co/nQ5lEv5NDN","Ricarda_Lang",2021-11-16 15:20:00,465,11
"1460166826101456901","Auf den Intensivstationen liegen vor allem Ungeimpfte mit #Corona. 
Doch wenn die Kliniken überlastet sind, die Not… https://t.co/Xjq3CXMlRO","Ricarda_Lang",2021-11-15 08:44:34,2482,195
"1458001387980312577","Würde man für jedes Opfer des Holocaust eine Schweigeminute halten, wäre die Welt 11 Jahre lang still. #WeRemember","Ricarda_Lang",2021-11-09 09:19:53,12574,1595
"1457772043454140421","Was beim Klimaschutz genug ist, misst sich nicht an den Wünschen der @Die_Gruenen , sondern an der Realität. 
Alle… https://t.co/M12az2VFAh","Ricarda_Lang",2021-11-08 18:08:33,364,48
"1457758397504315400","@larsklingbeil Sehr gute Entscheidung. Wünsche dir viel Erfolg!","Ricarda_Lang",2021-11-08 17:14:20,32,0
"1457414638904221701","Die Kriminalisierung von Schwangerschaftsabbrüchen hat nichts mit dem Schutz von Leben zu tun. Ganz im Gegenteil, s… https://t.co/3PfpHNjbCN","Ricarda_Lang",2021-11-07 18:28:22,1630,184
"1456164291204222980","In Gedenken an:

Enver Simsek
Abdurrahim Özüdogru
Süleyman Tasköprü
Habil Kiliç
Mehmet Turgut
Ismail Yasar.
Theodor… https://t.co/Iun31jEPE5","Ricarda_Lang",2021-11-04 07:39:55,1537,154
"1455913510005792777","Richtiges gutes Spitzenduo für Schleswig-Holstein. Ich freue mich auf euren Wahlkampf @MonikaHeinold und @aminajxx!… https://t.co/vTBr74hHYP","Ricarda_Lang",2021-11-03 15:03:25,108,3
"1455174307596935168","Eine der größten Schwierigkeiten in der Klimadebatte: Klimaschutz wird immer wieder zum special interest, zum Probl… https://t.co/p2vHmmaj1v","Ricarda_Lang",2021-11-01 14:06:05,192,29
"1455164758869610496","Mein herzliches Beileid. Eine in jeder Hinsicht beeindruckende Frau. https://t.co/2utRBLiC88","Ricarda_Lang",2021-11-01 13:28:08,63,1
"1455108636905197569","Mehr kann man auch wirklich nicht erwarten. https://t.co/AcZe7gcSz3","Ricarda_Lang",2021-11-01 09:45:08,2649,101
"1454845750236549121","Solidarische Grüße an #AlleDörferBleiben <U+270A>","Ricarda_Lang",2021-10-31 16:20:31,343,14
"1454360328788140035","Ein selbstbestimmter Abschied von politischen Ämtern, insbesondere nach einem Wahlerfolg, gelingt nicht vielen. Ich… https://t.co/WQbVMr6puJ","Ricarda_Lang",2021-10-30 08:11:37,733,10
"1453613745104633857","Das ist wirklich schön. https://t.co/w4DpaHwivS","Ricarda_Lang",2021-10-28 06:44:58,708,28
"1452978307973144580","Heute konstituiert sich der Deutsche Bundestag. Ich kann es immer noch nicht ganz fassen, hier zu sein. 

Eine groß… https://t.co/pgmiraaxtD","Ricarda_Lang",2021-10-26 12:39:58,3120,30
"1452940829002276871","@kev_adl @ria_schroeder @ArmandZorn @rasha_nasr_ @jensteutrine @verenahubertz @AnniKlose @derya_tn @kassem_ts… https://t.co/lUSAGpijNU","Ricarda_Lang",2021-10-26 10:11:02,3,0
"1452940622558601219","Heute konstituiert sich der Deutsche Bundestag. Ein besonderer Tag für die Demokratie. 
Und die AfD hat nichts Bess… https://t.co/DSvFc39Blh","Ricarda_Lang",2021-10-26 10:10:13,2252,52
"1452927573525213187","Team <U+0001F60D> https://t.co/Rqtinv0tde","Ricarda_Lang",2021-10-26 09:18:22,1293,23
"1452676830889132033","Unser Kandidatin von @GrueneBundestag für das Präsidium des Deutschen Bundestag - eine der leidenschaftlichsten Dem… https://t.co/Oi8Y44jIzR","Ricarda_Lang",2021-10-25 16:42:00,1299,23
"1452638951546793984","Und die beiden Sprecher*innen der @gruene_jugend :)","Ricarda_Lang",2021-10-25 14:11:29,161,0
"1452637490473410565","There‘s some new kids in town. 

So viele Menschen unter 35 bei der @GrueneBundestag <U+2764><U+FE0F> https://t.co/TFBvUX0nm2","Ricarda_Lang",2021-10-25 14:05:41,2841,109
"1452268181918257154","Willkommen zurück #SchwuZ <U+2764><U+FE0F> https://t.co/CgkL7m6GbB","Ricarda_Lang",2021-10-24 13:38:11,304,1
"1451890200087498752","Das Pariser Klimaabkommen ist die Grundlage für den Erhalt unserer Lebensgrundlage. 
Deshalb war es für mich eine E… https://t.co/98w2bsGnme","Ricarda_Lang",2021-10-23 12:36:13,138,7
"1451456910650130438","Ich freue mich sehr, bei den Koalitionsverhandlungen zur <U+0001F6A6> die Themen Gleichstellung und Antidiskriminierung gemein… https://t.co/Z6CcinHqpZ","Ricarda_Lang",2021-10-22 07:54:28,1000,18
"1451159407077826566","@SusanSziborra @PostheroicN @Die_Gruenen @K_SA @janoschdahmen @MariaKlSchmeink @K_SA ist auch mit dabei.","Ricarda_Lang",2021-10-21 12:12:18,6,2
"1450352437521436673","@yasminecmbarek @Luisa_Thome Am schlimmsten ist das mit der Challenge. Als wäre das schwierige an HartzIV eine Woch… https://t.co/MmmyBLtjg3","Ricarda_Lang",2021-10-19 06:45:42,103,1
"1450154448479739904","Warum es für mich so viel bedeutet, dass die Kindergrundsicherung jetzt im Sondierungspapier steht. #Länderrat https://t.co/uc5s2YZFAd","Ricarda_Lang",2021-10-18 17:38:57,303,18
"1449662615077232647","@Afelia Gute Gesundheitsversorgung für alle, ich will gar nicht dran denken.","Ricarda_Lang",2021-10-17 09:04:35,454,6
"1449646080535183360","@barbaragerlach @hahnflo @BILD Danke für die Versachlichung <U+263A><U+FE0F>","Ricarda_Lang",2021-10-17 07:58:53,264,0
"1449645195759427586","Frauen sterben häufiger bei Verkehrsunfällen oder werden schwerer verletzt, da Crash-Dummys fast ausschließlich auf… https://t.co/RaIwDcppHD","Ricarda_Lang",2021-10-17 07:55:22,8115,694
"1449024729696854021","@KuehniKev @verdi_Jugend Kann ich mich nur anschließen <U+263A><U+FE0F>","Ricarda_Lang",2021-10-15 14:49:51,66,0
"1448999072203948073","Selbstbestimmungsrecht, eigenständige Existenzsicherungen, gleichberechtigte Teilhabe an politischen Entscheidungen… https://t.co/AcqGniQ3hC","Ricarda_Lang",2021-10-15 13:07:54,221,11
"1448987193666674695","Wir haben die Chance auf einen Aufbruch für Klimaschutz, soziale Sicherheit und eine Politik, die unserer vielfälti… https://t.co/rI4xfCRIS6","Ricarda_Lang",2021-10-15 12:20:42,263,11
"1448978871567724550","Was ich neben vielen guten inhaltlichen Punkten am #Sondierungspapier spannend finde: es zeigt die Fähigkeit und Be… https://t.co/ggMUf1E9wx","Ricarda_Lang",2021-10-15 11:47:38,947,40
