"","word","frequency"
"1","",1
"2","#mehrfortschrittwagen",2
"6","fdp",2
"7","gemeinsam",2
"9","heute",2
"11","koalitionsvertrages",2
"13","spd",2
"14","titel",2
"16","vorgestellt",2
"12","#infektionsschutzgesetz",2
"3","beschlossen",2
"4","bund",2
"5","bundesrat",2
"111","dramatischen",2
"131","einstimmig",2
"15","gut",2
"18","herrschen",2
"20","instrumente",2
"22","klarheit",2
"23","lage",2
"24","länder",2
"25","parteien",2
"26","rechtssicherheit",2
"27","strang",2
"29","vierte",2
"30","welle",2
"31","wirksame",2
"32","ziehen",2
"21","#belarus",2
"51","drama",2
"61","dringlichsten",2
"71","droht",2
"91","ertragen",2
"112","familien",2
"132","gerade",2
"141","gestrandeten",2
"151","grenzgebiet",2
"161","humanitäre",2
"17","humanitäres",2
"221","kälte",2
"231","kinder",2
"241","kranke",2
"251","menschen",2
"271","schlecht",2
"28","setzt",2
"291","soforthilfe",2
"311","versorgungslage",2
"110","",1
"210","#cop",2
"33","#klimakrise",2
"52","akteuren",2
"72","aufgabe",2
"8","bedrohung",2
"92","braucht",2
"10","bureg",2
"142","dynamik",2
"162","erkannt",2
"181","gebannt",2
"19","gemeinsam",2
"211","industriestaaten",2
"222","lange",2
"232","machens",2
"272","nächsten",2
"281","neue",2
"321","staatengemeinschaft",2
"34","voranzugehen",2
"35","wirtschaft",2
"113","",1
"212","angehen",2
"41","danke",2
"53","darin",2
"101","ebene",2
"121","eucopresident",2
"133","europäischer",2
"143","frage",2
"152","fragen",2
"171","gemeinsam",2
"182","gespräch",2
"191","großen",2
"201","habeck",2
"213","koalitionsverhandlungen",2
"242","müssen",2
"261","robert",2
"282","stand",2
"292","treffen",2
"322","unserer",2
"341","zeit",2
"114","",1
"214","#niewieder",2
"36","#november",2
"62","antisemitismus",2
"81","bekämpfen",2
"122","denke",2
"144","deutschen",2
"153","entschieden",2
"163","form",2
"172","geschichte",2
"183","heute",4
"243","kapitel",2
"252","köpfen",2
"262","müssen",2
"283","schlimmste",2
"293","schrecken",2
"312","verschwunden",2
"115","",3
"215","#potsdam",2
"37","#synagoge",2
"54","alten",2
"63","antisemitismus",2
"102","endlich",2
"123","gemeinden",2
"134","grundsteinlegung",2
"145","gute",2
"164","jahre",2
"173","jüdischen",2
"184","masel",2
"202","neuen",2
"216","ort",2
"223","religionsausübung",2
"233","sichtbarer",2
"244","synagoge",2
"253","tov",2
"273","wachsenden",2
"284","wichtiges",2
"301","zeichen",2
"313","zerstörung",2
"116","#keinvergessen",2
"217","#nsu",2
"38","abdurrahim",2
"42","aufgrund",2
"55","boulgarides",2
"64","enver",2
"73","ermordet",2
"82","habil",2
"93","halit",2
"103","ismail",2
"117","kiesewetter",2
"124","kiliç",2
"135","kubasik",2
"146","mehmet",4
"154","michèle",2
"165","motive",2
"185","özüdogru",2
"192","rassistischer",2
"203","rechtsextremer",2
"218","simsek",2
"224","sogenannten",2
"234","süleyman",2
"245","tasköprü",2
"254","theodoros",2
"263","turgut",2
"294","wurden",2
"302","yasar",2
"314","yozgat",2
"118","#bundestag",2
"39","amt",2
"43","aufgaben",2
"56","baerbelbas",2
"65","bundestagspräsidentin",2
"83","frau",2
"104","glückwunsch",2
"119","gute",2
"125","herzlichen",2
"155","liebe",2
"166","liegen",2
"120","#sacharovpreis",2
"219","alexej",2
"310","amp",4
"74","demokratie",2
"1110","einstehen",2
"126","freiheit",2
"156","geistige",2
"167","gerechtigkeit",2
"174","gratulation",2
"204","kampf",2
"2110","korruption",2
"225","licht",2
"235","menschen",2
"246","mutige",2
"255","navalny",2
"264","nawalny",2
"274","russische",2
"285","steht",2
"295","tag",2
"315","wirft",2
