"id","text","screenName","created","favoriteCount","retweetCount"
"1463565781262901252","@anna_cavazzini ihr seid eben stabil! &lt;3","jamila_anna",2021-11-24 17:50:48,1,0
"1463565640212623363","Das ist ein echter Kurswechsel. Seehofer hatte die kroatische Regierung und Grenzpolizei trotz der vielen dokumenti… https://t.co/q4NGvQPRr8","jamila_anna",2021-11-24 17:50:15,26,0
"1463563528267206657","Übrigens: Der Schengen-Beitritt Kroatiens wird ab jetzt an die Einhaltung humanitärer Standards geknüpft.

Die kroa… https://t.co/TJnxNTXWRI","jamila_anna",2021-11-24 17:41:51,113,6
"1463554371657113600","Zur Ehrlichkeit in der Kommunikation gehört auch zu sagen, wo man sich mehr gewünscht hätte.

Mich schmerzt es zum… https://t.co/iFa9vTe8Uy","jamila_anna",2021-11-24 17:05:28,72,6
"1463530737483796486","Die #Ampel bringt vieles auf den Weg, was noch in einer konservativ geführten Regierung undenkbar erschien:

<U+2705> Kohl… https://t.co/HRvA6QxjHL","jamila_anna",2021-11-24 15:31:33,2086,142
"1463517096197988356","Ich freue mich, dass die neue #Ampel-Regierung die Demokratisierung EU nach vorne bringt durch 

<U+25B6><U+FE0F> transnationale… https://t.co/PJnmvtmUvH","jamila_anna",2021-11-24 14:37:21,37,0
"1463515166402912261","Mit der #Ampel wird es keinen Orban-Kuschelkurs mehr geben.

Wir zeigen klare Kante bei Verstößen gegen die Rechtss… https://t.co/4YpqQ20CJh","jamila_anna",2021-11-24 14:29:41,206,12
"1463484260304756742","@bueti Mit keinem geringeren Anspruch sollten wir bei der Europawahl antreten<U+0001F60A>","jamila_anna",2021-11-24 12:26:52,15,0
"1463476872902283264","Ein*e grüne*r Kommissionspräsident*in - wie geil wäre das denn? Ich freue mich schon auf den nächsten Europawahlkam… https://t.co/b5agiHYLKD","jamila_anna",2021-11-24 11:57:31,139,1
"1463264868816101378","@LarsWienand Mir selbst wurde das Foto zugeschickt, aber inzwischen gibts sehr gut begründete Zweifel an der Echthe… https://t.co/ZB2NQpsPLf","jamila_anna",2021-11-23 21:55:05,4,0
"1463263644863676421","Mir selbst wurde das Foto zugeschickt, aber inzwischen sind sich Leute unsicher über die Echtheit des Bildes. Darum… https://t.co/fWXjQYlP2F","jamila_anna",2021-11-23 21:50:13,6,0
"1462810946989084674","Impfen ist der beste Weg, um die körperliche Unversehrtheit zu schützen. #Lassteuchimpfen","jamila_anna",2021-11-22 15:51:22,392,20
"1458000027008356352","@MartinMay678 Ich habe natürlich keine Subvention des Zweitautos gefordert, sondern mehr Investitionen in Car Shari… https://t.co/B1UqgtfG1m","jamila_anna",2021-11-09 09:14:29,35,0
"1454533449805705221","@SebRoloff @mrohrlack <U+0001F91D>","jamila_anna",2021-10-30 19:39:33,3,0
